institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student 
regional college of management,master of business administration,"CAT, XAT, CMAT, MAT, NMAT, SNAP, Others, ATMA, KMAT",1:NA | 2:NA | 3:NA | 4:NA | 8:NA | 9:NA | 10:NA | 11:NA | 14:NA | ,bangalore,2,India,2 Years,600000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Retail Management, Digital Media",karnataka,700000
indian institute of business management,post graduate diploma in management,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,patna,2,India,2 Years,600000,"Finance, Marketing, Human Resources",bihar,276000
justice k s hegde institute of management,master of business administration,"CMAT, MAT, CAT, XAT, ATMA",3:NA|4:NA|1:NA|2:NA|11:NA,udupi,2,India,2 Years,600000,"Finance, Marketing, Human Resources",karnataka,370000
indus business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, GRE, Others, ATMA",1:NA   | 2:NA   | 3:NA   | 4:NA   | 5:NA   | 11:NA   | ,pune,2,India,2 Years,600000,"Marketing, Operations \/ SCM \/ Production, Human Resources, Entrepreneurship & Family Business",maharashtra,824000
amrita school of business,master of business administration,"CAT, MAT, CMAT, GMAT, XAT, GRE",1:NA|4:NA|3:NA|5:NA|2:NA|6:NA,kochi,2,India,2 Years,600000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics",kerala,650000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,600000,"Marketing, Operations \/ SCM \/ Production, Human Resources",uttarakhand,1157000
ramachandran international institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,600000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",maharashtra,625000
narayana business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,ahmedabad,2,India,2 Years,600000,"Finance, Marketing, Human Resources",gujarat,500000
narayana business school,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,ahmedabad,2,India,2 Years,600000,"Finance, Marketing, Information Technology, Human Resources",gujarat,500000
guru nanak institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA  | 2:NA  | 3:NA  | 4:450  | 5:NA  | ,new delhi,2,India,2 Years,600000,"Finance, Marketing, Human Resources, International Business",delhi,469000
national institute of management and technology,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA | 2:NA | 3:NA | 5:NA | ,,2,India,2 Years,595000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Infrastructure \/ Real Estate",uttar pradesh,300000
thiagarajar school of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, TANCET",1:NA | 2:NA | 3:NA | 4:60 | 16:NA | ,madurai,2,India,2 Years,592000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Business Analytics",tamil nadu,857000
xavier institute of management and entrepreneurship,post graduate diploma in management,"XAT, MAT, ATMA, CAT, Others",2:NA|4:NA|11:NA|1:NA|10:NA,cochin,2,India,2 Years,592000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, International Business",kerala,1000000
institute of public enterprise,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,hyderabad,2,India,2 Years,580000,Finance,Telangana,815000
institute of public enterprise,post graduate diploma in international business,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,hyderabad,2,India,2 Years,580000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",Telangana,815000
dr. v. n. bedekar institute of management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 10:NA | 11:NA | ,thane,2,India,2 Years,580000,"Finance, Marketing, Human Resources",maharashtra,460000
chitkara business school,master of business administration,"CAT, MAT, NMAT, XAT, CMAT",1:NA|4:NA|8:NA|2:NA|3:NA,chandigarh region,2,India,2 Years,578000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Healthcare \/ Hospital \/ Pharma",punjab,495000
vanguard business school,post graduate program in management,"CAT, XAT, MAT",1:NA | 2:NA | 4:NA | ,bangalore,2,India,2 Years,575000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",karnataka,650000
doon business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,dehradun,2,India,2 Years,575000,"Finance, Marketing, Human Resources, International Business",uttarakhand,353000
school of management srm university,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, TANCET",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 16:NA  | ,ramapuram,2,India,2 Years,575000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,450000
birla global university,master of business administration,"CAT, XAT, MAT, CMAT, GMAT",1:NA|2:NA|4:NA|3:NA|5:NA,bhubaneshwar,2,India,2 Years,570000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",orissa,800000
institute of technology and science,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA, JMET",1:NA  | 2:NA  | 3:NA  | 4:NA  | 11:NA  | 18:NA  | ,ghaziabad,2,India,2 Years,570000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,660000
gibs business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,570000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",karnataka,715000
jaipuria institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,lucknow,2,India,2 Years,568000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,965000
institute of rural management,post graduate diploma in business management,"CAT, XAT, CMAT, MAT, ATMA",1:55 | 2:55 | 3:NA | 4:55 | 11:NA | ,jaipur,2,India,2 Years,560000,"Finance, Marketing, Human Resources, Agri \/ Food \/ Rural Business, International Business",rajasthan,696000
international institute of business studies,post graduate diploma in management,"CAT, CMAT, MAT, IBSAT",1:50  | 3:NA  | 4:NA  | 12:NA  | ,bangalore,2,India,2 Years,560000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",karnataka,745000
itm business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 11:NA  | ,mumbai,2,India,2 Years,560000,"Finance, Marketing, Digital Media",maharashtra,495000
iilm academy of higher learning,post graduate diploma in management,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,560000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",rajasthan,450000
institute of rural management,post graduate diploma in rural management,"CAT, XAT, CMAT, MAT, ATMA",1:NA     | 2:NA     | 3:NA     | 4:NA     | 11:NA     | ,jaipur,2,India,2 Years,560000,"Finance, Agri \/ Food \/ Rural Business",rajasthan,720000
institute for technology and management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, NMAT, ATMA",1:73.24 | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 8:NA | 11:NA | ,navi mumbai,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Business Analytics, Digital Media",maharashtra,930000
delhi school of management delhi technological university,master of business administration,CAT,1:NA   | ,new delhi,2,India,2 Years,550000,"Marketing, Information Technology, Human Resources",delhi,317000
nit surathkal the school of management,master of business administration,CAT,1:70  | ,mangalore,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Retail Management",karnataka,562000
atharva institute of management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,680000
delhi school of business,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | ,delhi,2,India,2 Years,550000,"Finance, Marketing, Information Technology, Human Resources, Strategy, International Business, Entrepreneurship & Family Business",delhi,800000
development management institute,post graduate program in development management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,patna,2,India,2 Years,550000,"Finance, Marketing, Human Resources",bihar,600000
tapmi school of business,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | ,jaipur,2,India,2 Years,550000,"Finance, Marketing, Human Resources",rajasthan,753000
institute of insurance and risk management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,hyderabad,2,India,2 Years,550000,"Finance, Marketing, Business Analytics, Healthcare \/ Hospital \/ Pharma",Telangana,680000
jagannath international management school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,new delhi,2,India,2 Years,550000,"Finance, Marketing, Human Resources, Entrepreneurship & Family Business",delhi,675000
united world school of business,post graduate diploma in management,"MAT, CAT, XAT",4:NA|1:NA|2:NA,kolkata,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, Retail Management, Entrepreneurship & Family Business",west bengal,620000
jaipuria institute of management,master of business administration,"CAT, XAT, MAT, GMAT, ATMA",1:NA | 2:NA | 4:NA | 5:NA | 11:NA | ,ghaziabad,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,400000
institute of public enterprise,post graduate diploma in human resource management,"CAT, XAT, MAT, ATMA, CMAT, GMAT",1:NA|2:NA|4:NA|11:NA|3:NA|5:NA,hyderabad,2,India,2 Years,550000,Human Resources,Telangana,580000
asm's institute of business management and research,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,pune,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,426000
christ institute of management,post graduate diploma in management,"CAT, CMAT, MAT, MH-CET",1:NA | 3:NA | 4:NA | 7:NA | ,pune,2,India,2 Years,550000,"Finance, Marketing, Human Resources, Business Analytics",maharashtra,700000
kohinoor business school,master in management studies,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 7:NA  | 11:NA  | ,mumbai,2,India,2 Years,550000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,400000
st. joseph's institute of management,post graduate program in global financial markets,"CAT, XAT, CMAT, TANCET",1:NA   | 2:NA   | 3:NA   | 16:NA   | ,tiruchirapalli,2,India,2 Years,550000,"Finance, Marketing, Human Resources",tamil nadu,650000
empi business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,new delhi,2,India,2 Years,545000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Business Analytics, Media & Communication, Digital Media, E-Commerce",delhi,568000
brij mohan institute of management and technology,master of business administration,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,gurgaon,2,India,2 Years,543000,"Marketing, Human Resources, International Business",haryana,325000
amrita school of business,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, GRE, Others",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 6:NA | 10:NA | ,bangalore,2,India,2 Years,541000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, Business Analytics",karnataka,1000000
national power training institute,master of business administration,"CAT, MAT, CMAT",1:NA|4:NA|3:NA,,2,India,2 Years,540000,Power \/ Energy \/ Oil \/ Gas,haryana,500000
cms business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,bangalore,2,India,2 Years,540000,"Finance, Marketing, Human Resources",karnataka,875000
chetana's institute of management and research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,534000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,750000
icfai ibs dehradun,master of business administration,"CAT, GMAT, NMAT, Others",1:NA  | 5:NA  | 8:NA  | 10:NA  | ,dehradun,2,India,2 Years,532000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",uttarakhand,567000
psg institute of management,master of business administration,"CAT, MAT, TANCET",1:NA   | 4:NA   | 16:NA   | ,coimbatore,2,India,2 Years,530000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,800000
chetana's institute of management and research,post graduate diploma in marketing management,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,530000,Marketing,maharashtra,750000
nitte school of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,530000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",karnataka,575000
international institute of health management research,post graduate diploma in hospital and health management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 11:NA  | ,new delhi,2,India,2 Years,530000,"Information Technology, Healthcare \/ Hospital \/ Pharma",delhi,380000
institute of management development and research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:75   | 2:75   | 3:NA   | 4:90   | 7:NA   | 11:NA   | ,pune,2,India,2 Years,526000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",maharashtra,400000
indus business academy,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:70 | 2:73 | 3:NA | 4:85 | 5:NA | 11:NA | ,bangalore,2,India,2 Years,525000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, International Business, Retail Management, Entrepreneurship & Family Business",karnataka,752000
hyderabad business school,master of business administration,"CAT, XAT, MAT, GMAT, NMAT, ATMA",1:NA | 2:NA | 4:NA | 5:NA | 8:NA | 11:NA | ,hyderabad,2,India,2 Years,525000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Business Analytics, International Business",Telangana,720600
acn school of business,post graduate diploma in management,"GMAT, CAT, MAT",5:NA|1:NA|4:NA,aligarh,2,India,2 Years,525000,"Finance, Marketing, Operations \/ SCM \/ Production, Strategy",uttar pradesh,220000
gitam institute of management,master of business administration,"CAT, XAT, MAT, GMAT, Others",1:50 | 2:50 | 4:NA | 5:NA | 10:NA | ,visakhapatnam,2,India,2 Years,520000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",andhra pradesh,720000
itm business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, NMAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 8:NA | 10:NA | 11:NA | ,warangal,2,India,2 Years,520000,"Finance, Marketing, Human Resources",andhra pradesh,495000
pes university,master of business administration,"Others, PGCET, MAT, CMAT, CAT, GMAT, GRE",10:NA|17:NA|4:NA|3:NA|1:NA|5:NA|6:NA,bangalore,2,India,2 Years,520000,"Finance, Marketing, Human Resources",karnataka,800000
institute of public enterprise,post graduate diploma in management,"CAT, XAT, MAT, ATMA, CMAT, GMAT",1:NA|2:NA|4:NA|11:NA|3:NA|5:NA,hyderabad,2,India,2 Years,520000,"Marketing, Retail Management",Telangana,580000
scms cochin school of business,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:50 | 2:60 | 3:NA | 4:NA | 11:NA | ,cochin,2,India,2 Years,500000,"Finance, Marketing, Human Resources",kerala,750000
thakur institute of management studies and research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | 18:NA | ,mumbai,2,India,2 Years,500000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management",maharashtra,850000
international school of management excellence,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT",1:60 | 2:75 | 3:75 | 4:75 | ,bangalore,2,India,2 Years,500000,"Finance, Marketing, Information Technology, Human Resources, Business Analytics",karnataka,645000
new delhi institute of management,post graduate diploma in management,"CAT, XAT, ATMA, GMAT, CMAT",1:NA|2:NA|11:NA|5:NA|3:NA,new delhi,2,India,2 Years,500000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Business Analytics, International Business, Media & Communication, Digital Media",delhi,800000
army institute of management and technology ,master of business administration,"CAT, XAT, CMAT, MAT",1:NA  | 2:NA  | 3:NA  | 4:NA  | ,,2,India,2 Years,500000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,173000
lloyd institute of management and technology,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,,2,India,2 Years,500000,"Finance, Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,450000
sri sharada institute of indian management research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, JMET",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 18:NA | ,new delhi,2,India,2 Years,500000,"Finance, Marketing, Human Resources, International Business",delhi,195000
institute of health management research,post graduate diploma in hospital and health management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,500000,"Information Technology, Healthcare \/ Hospital \/ Pharma",karnataka,552000
harlal institute of management and technology,post graduate diploma in management,"CAT, XAT, MAT, ATMA, UPSEE",1:NA | 2:NA | 4:NA | 11:NA | 15:NA | ,,2,India,2 Years,500000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,550000
jaypee business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,,2,India,2 Years,500000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, International Business, Media & Communication",uttar pradesh,640000
ramachandran international institute of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,pune,2,India,2 Years,500000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Digital Media",maharashtra,560000
chetana's institute of management and research,post graguate diploma in management - retail management,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,500000,Retail Management,maharashtra,600000
xavier institute of social service xiss,post graduate diploma in marketing management,"CAT, XAT, CMAT",1:NA | 2:NA | 3:NA | ,ranchi,2,India,2 Years,500000,Marketing,jharkhand,750000
xavier institute of social service xiss,post graduate diploma in management,"CAT, XAT, CMAT",1:NA | 2:NA | 3:NA | ,ranchi,2,India,2 Years,500000,Finance,jharkhand,750000
sri sri university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,cuttack,2,India,2 Years,500000,General Management,orissa,660000
balaji institute of international business,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | ,pune,2,India,2 Years,500000,"Finance, Marketing, Human Resources",maharashtra,670000
mit wpu school of business,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,500000,"Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",maharashtra,700000
army institute of management,master of business administration,CAT,1:60,kolkata,2,India,2 Years,497000,"Finance, Marketing, Human Resources",west bengal,812000
calcutta business school,post graduate diploma in management,"CAT, XAT, MAT, CMAT, JMAT",1:50|2:50|4:NA|3:NA|19:NA,kolkata,2,India,2 Years,494000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",west bengal,585000
icfai business school,master of business administration,"CAT, GMAT, NMAT, IBSAT",1:NA   | 5:NA   | 8:NA   | 12:NA   | ,jaipur,2,India,2 Years,493000,"Finance, Marketing, Human Resources",rajasthan,567000
lm thapar school of management thapar university,master of business administration,"CAT, XAT, NMAT, GRE, GMAT, CMAT, MAT",1:NA|2:NA|8:NA|6:NA|5:NA|3:NA|4:NA,Mohali,2,India,2 Years,491000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, Power \/ Energy \/ Oil \/ Gas, International Business, Entrepreneurship & Family Business, Sustainability \/ Environment",punjab,258000
m s ramaiah institute of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,480000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",karnataka,575000
indian institute of health management research,master of business administration,"MAT, CAT, CMAT, ATMA, XAT, GMAT",4:NA|1:NA|3:NA|11:NA|2:NA|5:NA,jaipur,2,India,2 Years,480000,"Finance, Human Resources, Healthcare \/ Hospital \/ Pharma",rajasthan,880000
vanguard business school,post graduate program in management,"CAT, XAT, MAT",1:NA | 2:NA | 4:NA | ,bangalore,2,India,2 Years,480000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",karnataka,575000
niilm centre for management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,,2,India,2 Years,476000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,440000
doon business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,dehradun,2,India,2 Years,475000,International Business,uttarakhand,353000
graphic era university,master of business administration,"CAT, XAT, MAT",1:NA|2:NA|4:NA,dehradun,2,India,2 Years,470000,"Finance, Marketing, Human Resources",uttarakhand,380000
rajagiri centre for business studies,master of business administration,"CAT, MAT, CMAT, KMAT",1:NA|4:NA|3:NA|14:NA,cochin,2,India,2 Years,469000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",kerala,500000
science and technology entrepreneurs park harcourt butler technological institute,post graduate diploma in management,"CAT, CMAT, MAT, UPSEE",1:NA | 3:NA | 4:NA | 15:NA | ,kanpur,2,India,2 Years,460000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, Entrepreneurship & Family Business",uttar pradesh,210000
ramachandran international institute of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,pune,2,India,2 Years,460000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,398000
hindustan institute of technology and science school of management,master of business administration,"CAT, XAT, MAT, CMAT, ATMA",1:NA|4:NA|2:NA|11:NA|3:NA,chennai,2,India,2 Years,456000,"Finance, Marketing, Information Technology, Human Resources",tamil nadu,459000
kirloskar institute of advanced management studies kiams,post graduate diploma in management,"CAT, XAT, CMAT, GMAT, MAT",1:NA|4:NA|2:NA|5:NA|3:NA,harihar,2,India,2 Years,455000,"Marketing, Human Resources",karnataka,998000
d. y. patil university,master of business administration,"CAT, CMAT, MH-CET",1:50 | 3:NA | 7:NA | ,navi mumbai,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Healthcare \/ Hospital \/ Pharma, International Business, Sports, Entrepreneurship & Family Business",maharashtra,780000
vaikunth mehta national institute of cooperative management,post graduate diploma in agri business management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,pune,2,India,2 Years,450000,Agri \/ Food \/ Rural Business,maharashtra,450000
rizvi institute of management studies and research,master in management studies,"CAT, MAT, MH-CET, ATMA",1:NA | 4:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,400000
,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,new delhi,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",delhi,600000
entrepreneurship development institute of india,post graduate diploma in management,"CAT, MAT, XAT, ATMA, CMAT, GMAT",1:NA|4:NA|2:NA|11:NA|3:NA|5:NA,gandhinagar,2,India,2 Years,450000,Entrepreneurship & Family Business,gujarat,1050000
kohinoor business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 7:NA  | 11:NA  | ,mumbai,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,550000
gibs business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 11:NA  | ,bangalore,2,India,2 Years,450000,"Finance, Marketing, Human Resources",karnataka,615000
jk lakshmipat university,master of business administration,"CAT, XAT, CMAT, MAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 10:NA | 11:NA | ,jaipur,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",rajasthan,840000
,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,bangalore,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",karnataka,600000
institute of agri business management,master of business administration,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,bikaner,2,India,2 Years,450000,"Finance, Marketing, General Management, Agri \/ Food \/ Rural Business",rajasthan,72000
jaipuria institute of management,post graduate diploma in management,"CAT, MAT, XAT, CMAT, ATMA, GMAT",1:NA|4:NA|2:NA|3:NA|11:NA|5:NA,,2,India,2 Years,450000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",uttar pradesh,925000
