institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student
xavier institute of management,post graduate program in business management,"CAT, XAT, GMAT",1:90   | 2:94   | 5:NA   | ,bhubaneshwar,2,India,2 Years,1431000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",orissa,2010000
institute of rural management,post graduate diploma in rural management,"CAT, XAT, IRMASAT",1:89.2     | 2:NA     | 21:NA     | ,anand,2,India,2 Years,1424000,Agri \/ Food \/ Rural Business,gujarat,1050000
international management institute,executive post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA     | 2:NA | 3:NA | 4:NA | 5:NA     | 11:NA | ,new delhi,1,India,1 Year,1343000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy",delhi,1200000
international management institute,post graduate diploma in management,"CAT, GMAT",1:91.6    | 5:NA    | ,new delhi,2,India,2 Years,1311000,"Human Resources, General Management",delhi,1588000
great lakes institute of management,post graduate program in management,"CAT, XAT, CMAT, GMAT",1:85      | 2:90      | 3:NA      | 5:650      | ,chennai,1,India,1 Year,1310000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Strategy, Business Analytics",tamil nadu,1586000
,post graduate diploma in management - communications,"CAT, XAT, GMAT, MICAT",1:NA        | 2:NA        | 5:NA       | 22:NA        | ,ahmedabad,2,India,2 Years,1280000,"Marketing, Business Analytics, Media & Communication, Digital Media",gujarat,2000000
indian institute of management visakhapatnam,post graduate program in management,CAT,1:85  | ,visakhapatnam,2,India,2 Years,1261000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",andhra pradesh,1365000
institute of management technology,post graduate diploma in management,"CAT, XAT, GMAT",1:70       | 2:70       | 5:500       | ,ghaziabad,1,India,1 Year,1250000,General Management,uttar pradesh,1900000
taxila business school,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | ,jaipur,2,India,2 Years,1250000,"Finance, Marketing, Information Technology, Human Resources, International Business",rajasthan,800000
iit madras department of management studies,master of business administration,CAT,1:93  | ,chennai,2,India,2 Years,1244000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",tamil nadu,800000
indian institute of management nagpur,post graduate program in management,CAT,1:85 | ,nagpur,2,India,2 Years,1241587,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",maharashtra,1375000
indian institute of management udaipur,master of business administration,CAT,1:90  | ,udaipur,2,India,2 Years,1225000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",rajasthan,1592000
indian institute of management amritsar,master of business administration,CAT,1:85         | ,amritsar,2,India,2 Years,1220000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",punjab,1200000
indian institute of management kashipur,post graduate program in management,CAT,1:94 | ,uttarakhand,2,India,2 Years,1217000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Media & Communication",uttarakhand,1513000
department of financial studies university of delhi,master of business administration in finance,CAT,1:90    | ,new delhi,2,India,2 Years,1215000,"Finance, Marketing, Information Technology, General Management, Strategy, Business Analytics",delhi,26000
department of business economics university of delhi,master of business administration,CAT,1:95.8    | ,new delhi,2,India,2 Years,1215000,"Finance, Marketing",delhi,25000
indian institute of management sirmaur,post graduate program in management,CAT,1:94 | ,sirmaur,2,India,2 Years,1200000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",himachal pradesh,1175000
indian institute of management rohtak,post graduate program in management,CAT,1:95 | ,rohtak,2,India,2 Years,1185000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, Sustainability \/ Environment",haryana,1380000
department of commerce delhi school of economics delhi university,master of business administration,CAT,1:90  | ,new delhi,2,India,2 Years,1172000,International Business,delhi,30392
