,College Name,GPA,Verbal,Quants,Writing,Cluster
53,California State University San Jose,3.2,160,152,3.5,1
54,California State University San Marcos,3.97,149,157,4.5,0
55,"California State University, Chico",3.7725,156.625,151.75,4.3125,1
56,"California State University, Dominguez Hills",3.72,150,151,4,4
57,"California State University, Fresno",3.956666667,148.3333333,148.3333333,3.833333333,4
58,"California State University, Fullerton",3.773,155.2,153.1,4.55,1
59,"California State University, Long Beach",3.578888889,155.5555556,153.2222222,4.333333333,1
60,"California State University, Los Angeles",3.493,161.6,150.7,4.74,2
61,"California State University, Northridge",3.6515,157.05,153.85,4.25,1
62,"California State University, Sacramento",3.54,159,155.5,4,1
63,"California State University, San Francisco",3.5,148,155,4.5,4
64,"California State University, San Jose",3.08,161,156,5,2
65,California University Of PA,4,155,148,4,4
66,California University Of Pennsylvania,3.854,151,149.2,4.1,4
67,Cardiff University,3.68,168,156,4.5,2
68,Carleton University,3.54,164.5,158,5.083333333,2
69,Carnegie Mellon University (CMU),3.632327402,159.5658363,163.5017794,4.067615658,3
70,Case Western Reserve University (CRWU),3.83,158,155,4.5,1
71,Case Western Reserve University (CWRU),3.56,158.0588235,157,4.117647059,1
72,Catholic University Of America,3.541428571,158.1428571,157.7142857,4.428571429,1
73,Central European University,3.33,157.1666667,158.8333333,4.25,1
74,Central Michigan University,3.635384615,155.3076923,152.3846154,4.115384615,1
75,Central Washington University,3.306666667,162.3333333,156.3333333,4.333333333,2
76,Chapman University,3.77625,153.5,149.125,4.375,4
77,Chatham University,3.63,160,153,4,1
78,Chicago University Divinity School,3.6,163,170,3.5,3
79,City University London,3.68,168,156,4.5,2
80,Claremont Graduate University,3.487272727,160.2727273,158.4545455,4.363636364,3
81,Claremont McKenna College,3.6,154,156,4,1
82,Clarion University,3.48,145.5,148,3.75,4
83,Clark University,3.478333333,161.6666667,158,4.416666667,2
84,Clarkson University,3.45125,150.75,161.5,3.1875,0
85,Clemson University,3.480684211,156.8947368,159.2894737,3.973684211,1
86,Cleveland State University,3.4875,150.4166667,153.0833333,4.041666667,4
87,Colorado State University (CSU),3.663533333,157.9333333,157.4333333,3.95,1
88,Columbia University,3.631380615,160.070922,160.3546099,4.296217494,3
89,Concordia University,3.55,157.125,161.625,4.1875,3
90,Cooper Union,3.68,153.5,161,3.75,0
91,Cornell University,3.625387755,159.7414966,162.047619,4.034013605,3
92,"Cranfield University, UK",3.6,158,166,4.5,3
93,Curry School Of Education - University Of Virginia,3.45,163,160,4.5,3
